metric,higher_is_better,domain,mask_severity,placement_a,placement_b,n_subjects,mean_a,mean_b,mean_diff,std_diff,t_stat,df,p_raw,p_bonferroni,cohens_d,significant_05_adj,significant_01_adj
psnr,True,carpet,30,top_left,bottom_left,1926,14.116876,14.014947,0.10193,1.673667,2.6728,1925,0.0075865720624709735,0.07586572062470974,0.0609,False,False
psnr,True,carpet,30,top_left,bottom_right,1926,14.116876,14.062732,0.054145,1.609098,1.4767,1925,0.13991116037590343,1.0,0.0336,False,False
psnr,True,carpet,30,top_right,center,1926,14.078831,16.74571,-2.666879,2.621217,-44.6507,1925,1.874633998384675e-299,1.874633998384675e-298,-1.0174,True,True
psnr,True,carpet,30,top_right,bottom_left,1926,14.078831,14.014947,0.063884,1.606797,1.7449,1925,0.0811692610858625,0.8116926108586251,0.0398,False,False
psnr,True,carpet,30,top_right,bottom_right,1926,14.078831,14.062732,0.016099,1.554894,0.4544,1925,0.6495980501619002,1.0,0.0104,False,False
psnr,True,carpet,30,center,bottom_left,1926,16.74571,14.014947,2.730763,2.725683,43.968,1925,6.029267047120294e-293,6.0292670471202945e-292,1.0019,True,True
psnr,True,carpet,30,center,bottom_right,1926,16.74571,14.062732,2.682978,2.55135,46.1504,1925,9.7133336446e-314,9.71333364464e-313,1.0516,True,True
psnr,True,carpet,30,bottom_left,bottom_right,1926,14.014947,14.062732,-0.047785,0.85024,-2.4665,1925,0.013731370674582034,0.13731370674582033,-0.0562,False,False
psnr,True,carpet,40,top_left,top_right,1926,13.723565,13.964374,-0.240809,0.786686,-13.4338,1925,2.1503491369555553e-39,2.1503491369555551e-38,-0.3061,True,True
psnr,True,carpet,40,top_left,center,1926,13.723565,16.247433,-2.523868,2.335549,-47.4248,1925,0.0,0.0,-1.0806,True,True
psnr,True,carpet,40,top_left,bottom_left,1926,13.723565,13.748716,-0.02515,1.320963,-0.8356,1925,0.4035004238628074,1.0,-0.019,False,False
psnr,True,carpet,40,top_left,bottom_right,1926,13.723565,13.902998,-0.179433,1.340314,-5.8752,1925,4.963841647449649e-09,4.9638416474496486e-08,-0.1339,True,True
psnr,True,carpet,40,top_right,center,1926,13.964374,16.247433,-2.283059,2.295042,-43.6571,1925,5.547701434313807e-290,5.547701434313807e-289,-0.9948,True,True
psnr,True,carpet,40,top_right,bottom_left,1926,13.964374,13.748716,0.215658,1.291574,7.3278,1925,3.425138624597003e-13,3.425138624597003e-12,0.167,True,True
psnr,True,carpet,40,top_right,bottom_right,1926,13.964374,13.902998,0.061375,1.231375,2.1874,1925,0.028832050612760063,0.28832050612760063,0.0498,False,False
psnr,True,carpet,40,center,bottom_left,1926,16.247433,13.748716,2.498717,2.312957,47.4108,1925,0.0,0.0,1.0803,True,True
psnr,True,carpet,40,center,bottom_right,1926,16.247433,13.902998,2.344434,2.266484,45.3956,1925,1.4977149835454926e-306,1.4977149835454925e-305,1.0344,True,True
psnr,True,carpet,40,bottom_left,bottom_right,1926,13.748716,13.902998,-0.154283,0.638962,-10.5967,1925,1.5362970161300016e-25,1.5362970161300016e-24,-0.2415,True,True
psnr,True,dtd,5,top_left,top_right,1926,19.041986,19.066954,-0.024969,3.773838,-0.2904,1925,0.7715718487159897,1.0,-0.0066,False,False
psnr,True,dtd,5,top_left,center,1926,19.041986,21.403289,-2.361303,4.334981,-23.9052,1925,8.29473571800721e-111,8.294735718007211e-110,-0.5447,True,True
psnr,True,dtd,5,top_left,bottom_left,1926,19.041986,19.302629,-0.260643,3.927493,-2.9124,1925,0.0036273672174332735,0.036273672174332736,-0.0664,True,False
psnr,True,dtd,5,top_left,bottom_right,1926,19.041986,19.480665,-0.438679,3.999723,-4.8133,1925,1.6001073218632087e-06,1.6001073218632087e-05,-0.1097,True,True
psnr,True,dtd,5,top_right,center,1926,19.066954,21.403289,-2.336335,4.513583,-22.7165,1925,2.089056617619035e-101,2.089056617619035e-100,-0.5176,True,True
psnr,True,dtd,5,top_right,bottom_left,1926,19.066954,19.302629,-0.235674,4.461345,-2.3183,1925,0.020535934405900104,0.20535934405900103,-0.0528,False,False
psnr,True,dtd,5,top_right,bottom_right,1926,19.066954,19.480665,-0.41371,4.324439,-4.1985,1925,2.809318116667975e-05,0.00028093181166679746,-0.0957,True,True
psnr,True,dtd,5,center,bottom_left,1926,21.403289,19.302629,2.100661,4.337844,21.2525,1925,3.2657985187434155e-90,3.265798518743416e-89,0.4843,True,True
psnr,True,dtd,5,center,bottom_right,1926,21.403289,19.480665,1.922625,4.328655,19.4926,1925,2.2430070717321796e-77,2.2430070717321798e-76,0.4442,True,True
psnr,True,dtd,5,bottom_left,bottom_right,1926,19.302629,19.480665,-0.178036,3.773891,-2.0704,1925,0.038551396934253745,0.38551396934253745,-0.0472,False,False
psnr,True,dtd,10,top_left,top_right,1926,18.362714,18.465929,-0.103215,3.138307,-1.4434,1925,0.14908185313809108,1.0,-0.0329,False,False
psnr,True,dtd,10,top_left,center,1926,18.362714,20.627322,-2.264607,3.778959,-26.2996,1925,1.6962937716081885e-130,1.6962937716081884e-129,-0.5993,True,True
psnr,True,dtd,10,top_left,bottom_left,1926,18.362714,18.714623,-0.351908,3.445833,-4.4819,1925,7.832664971157906e-06,7.832664971157906e-05,-0.1021,True,True
psnr,True,dtd,10,top_left,bottom_right,1926,18.362714,18.898017,-0.535302,3.78589,-6.2053,1925,6.668775351229233e-10,6.668775351229234e-09,-0.1414,True,True
